id_st_ib,name_st_ib,from_year,to_year,is_current
01,jammukashmir,1951,9999,1
02,himachalpradesh,1951,9999,1
03,punjab,1951,9999,1
04,chandigarh,1971,9999,1
05,uttarakhand,2001,9999,1
06,haryana,1981,9999,1
07,delhi,1951,9999,1
08,rajasthan,1951,9999,1
09,uttarpradesh,1951,9999,1
10,bihar,1951,9999,1
11,sikkim,1951,9999,1
12,arunachalpradesh,1961,9999,1
13,nagaland,1961,9999,1
14,manipur,1951,9999,1
15,mizoram,1971,9999,1
16,tripura,1951,9999,1
17,meghalaya,1971,9999,1
18,assam,1951,9999,1
19,westbengal,1951,9999,1
20,jharkhand,2001,9999,1
21,odisha,1951,9999,1
22,chhattisgarh,2001,9999,1
23,madhyapradesh,1951,9999,1
24,gujarat,1961,9999,1
25,damandiu,1991,9999,1
26,dadranagarhaveli,1961,9999,1
27,maharashtra,1961,9999,1
28,andhrapradesh,1961,9999,1
29,karnataka,1951,9999,1
30,goa,1991,9999,1
31,lakshadweep,1961,9999,1
32,kerala,1951,9999,1
33,tamilnadu,1951,9999,1
34,pondicherry,1961,9999,1
35,andamannicobarislands,1951,9999,1
36,telangana,2014,9999,1
37,ladakh,2019,9999,1
9990001,ajmer,1951,1951,0
9990002,bhopal,1951,1951,0
9990003,bilaspur,1951,1951,0
9990004,bombay,1951,1951,0
9990005,coorg,1951,1951,0
9990006,goadamandiu,1961,1981,0
9990007,hyderabad,1951,1951,0
9990008,kutch,1951,1951,0
9990009,madhyabharat,1951,1951,0
9990010,patialaeastpunjabstatesunion,1951,1951,0
9990011,saurashtra,1951,1951,0
9990012,vindhyapradesh,1951,1951,0
