id_st_ib,name_st_ib,names,from_year,to_year,id_st_cen2001,id_st_cen2011,id_st_lgd
01,jammukashmir,"jammu,jammuandkashmir,jammukashmir,jk,jmjammukashmir,ladakh",1951,9999,01,01,01
02,himachalpradesh,"bilaspur,himachal,himachalpradesh,hp,hphimachalpradesh",1951,9999,02,02,02
03,punjab,"panjab,pb,pjpunjab,punjab,simla",1951,9999,03,03,03
04,chandigarh,"chandigarh,sahibzadaajitsinghnagar",1971,9999,04,04,04
05,uttarakhand,"uk,ut,uttarakhand,uttaranchal,uttrakhand,uttranchal",2001,9999,05,05,05
06,haryana,"haryana,hr,hrharyana",1981,9999,06,06,06
07,delhi,"delhi,delhincr,dl,dldelhi,nationalcapitalterritorydelhi,nct,nctdelhi,nctofdelhi,newdelhi",1951,9999,07,07,07
08,rajasthan,"rajasthan,rj,rjrajasthan",1951,9999,08,08,08
09,uttarpradesh,"up,uputtarpradesh,uttarapradesh,uttarpradesh",1951,9999,09,09,09
10,bihar,"bh,bhbihar,bihar,br",1951,9999,10,10,10
11,sikkim,"districtsikkim,gangtok,sikkim,sk,sksikkim",1951,9999,11,11,11
12,arunachalpradesh,"ar,ararunachalpradesh,arp,arunachalpradesh,arunancalpredesh,arunanchalpradesh,nefa,northeastfrontieragency",1961,9999,12,12,12
13,nagaland,"nagahills,nagahillstuensangarea,nagaland,nanagaland,nl",1961,9999,13,13,13
14,manipur,"mamanipur,manipur,mn,mnp",1951,9999,14,14,14
15,mizoram,"mizohills,mizoram,mz",1971,9999,15,15,15
16,tripura,"agartala,tp,tr,tripura,trtripura",1951,9999,16,16,16
17,meghalaya,"meghalay,meghalaya,mgh,shillong",1971,9999,17,17,17
18,assam,"as,asassam,assam",1951,9999,18,18,18
19,westbengal,"wb,wbwestbengal,westbengal",1951,9999,19,19,19
20,jharkhand,"jh,jharkhand",2001,9999,20,20,20
21,odisha,"odisha,or,orissa,ororissa",1951,9999,21,21,21
22,chhattisgarh,"cg,chattisgarh,chhatisgarh,chhattisgarh,ct",2001,9999,22,22,22
23,madhyapradesh,"madhyapradesh,madhypradesh,mp,mpmadhyapradesh",1951,9999,23,23,23
24,gujarat,"gj,gjgujarat,gujarat,gujrat,kutch,saurashtra",1961,9999,24,24,24
25,damandiu,"daman,damananddiu,damandiu,diu",1991,9999,,,25
26,dadranagarhaveli,"dadraandnagarhaveli,dadranagarhaveli,dnhaveli,silvassa,thedadraandnagarhavelianddamananddiu",1961,9999,,,26
27,maharashtra,"maharashtra,maharastra,mh,mhmaharashtra,ms",1961,9999,27,27,27
28,andhrapradesh,"andhrapradesh,ap,apandhrapradesh,telangana",1961,9999,28,28,28
29,karnataka,"ka,kakarnataka,karnataka,mysore,mysuru",1951,9999,29,29,29
30,goa,"goa,goadamandiu",1991,9999,30,30,30
31,lakshadweep,"districtlakshadweep,kavaratti,laccadive,laccadiveminicoiamindiviislands,laccadiveminicoyamindiviislands,lakshadweep,lakshadwep,lakshdweep,ld",1961,9999,31,31,31
32,kerala,"ke,kekerala,kerala,kerela,kl,travancorecochin",1951,9999,32,32,32
33,tamilnadu,"madras,tamilnadu,tn,tntamilnadu",1951,9999,33,33,33
34,pondicherry,"districtpuducherry,pondi,pondicherry,pondicherryfrench,puducherry,py",1961,9999,34,34,34
35,andamannicobarislands,"an,andamanandnicobar,andamanandnicobarislands,andamannicobar,andamannicobarisland,andamannicobarislands,andamansnicobars,andmanandnocobarislands,anisland,anislands,portblair",1951,9999,35,35,35
36,telangana,"telangana,tg,telengana",2014,9999,,,36
37,ladakh,"ladakh,la",2019,9999,,,37
9990001,ajmer,"ajmer,ajmr,rajasthanajmer",1951,1951,,,
9990002,bhopal,"bhopal,sehore",1951,1951,,,
9990003,bilaspur,bilaspur,1951,1951,,,
9990004,bombay,"bombay,greaterbombay",1951,1951,,,
9990005,coorg,"coorg,goorgordodagu,kodagu",1951,1951,,,
9990006,goadamandiu,"goa,goadamandiu,goadamandiuportugese",1961,1981,,,
9990007,hyderabad,"hyderabad,hyderbad",1951,1951,,,
9990008,kutch,"gj,gjgujarat,gujarat,gujrat,kutch",1951,1951,,,
9990009,madhyabharat,"madhyabharat,madhybharat",1951,1951,,,
9990010,patialaeastpunjabstatesunion,"patiala,patialaeastpunjabstatesunion,pepsu",1951,1951,,,
9990011,saurashtra,"navanagar,rajkot,saurashtra",1951,1951,,,
9990012,vindhyapradesh,"vindhyapradesh,vindhypradesh",1951,1951,,,
