id_key,stkey,stvals
"01","jammukashmir","jammukashmir,jmjammukashmir,jammu,jk,jammuandkashmir,ladakh"
"02","himachalpradesh","himachalpradesh,hphimachalpradesh,himachal,hp,bilaspur"
"03","punjab","punjab,pjpunjab,panjab,pb"
"04","chandigarh","chandigarh,sahibzadaajitsinghnagar"
"05","uttarakhand","ut,uttaranchal,uttrakhand,uk,uttranchal"
"06","haryana","haryana,hrharyana,hr"
"07","delhi","delhincr,delhi,dldelhi,newdelhi,nationalcapitalterritorydelhi,nctdelhi,nct,dl,nctofdelhi"
"08","rajasthan","rajasthan,rjrajasthan,rj"
"09","uttarpradesh","uttarpradesh,uputtarpradesh,uttarapradesh,up"
"10","bihar","bihar,bhbihar,br,bh"
"11","sikkim","sikkim,sksikkim,sk"
"12","arunachalpradesh","arunachalpradesh,ararunachalpradesh,arunanchalpradesh,ar,arunancal predesh,arp"
"13","nagaland","nagaland,nanagaland,nl"
"14","manipur","manipur,mamanipur,mn,mnp"
"15","mizoram","mizohills,mizoram,mz"
"16","tripura","tripura,trtripura,tr,tp"
"17","meghalaya","shillong,meghalay,meghalaya,mgh"
"18","assam","assam,asassam,as"
"19","westbengal","westbengal,wbwestbengal,wb"
"20","jharkhand","jharkhand,jh"
"21","odisha","orissa,ororissa,or,odisha"
"22","chhattisgarh","chhattisgarh,ct,chhatisgarh,cg,chattisgarh"
"23","madhyapradesh","madhyapradesh,madhypradesh,mpmadhyapradesh,mp"
"24","gujarat","gujarat,gjgujarat,gujrat,gj,kutch,saurashtra"
"25","damandiu","damandiu,daman,diu"
"26","dadranagarhaveli","dadranagarhaveli,dnhaveli,thedadraandnagarhavelianddamananddiu"
"27","maharashtra","maharashtra,mhmaharashtra,mh,ms"
"28","andhrapradesh","andhrapradesh,apandhrapradesh,ap,telangana"
"29","karnataka","karnataka,kakarnataka,ka,mysore"
"30","goa","goa"
"31","lakshadweep","lakshadweep,lakshadwep,ld"
"32","kerala","kerala,kekerala,kerela,kl,travancorecochin,ke"
"33","tamilnadu","tamilnadu,tntamilnadu,tn,madras"
"34","pondicherry","puducherry,pondicherry,pondi,py,pondicherryfrench"
"35","andamannicobarislands","andamannicobarislands,andamannicobarisland,anislands,andamannicobar,an,andamansnicobars,andamanandnicobar,andmanandnocobarislands,andamanandnicobarislands,andamansnicobars"
"36","telangana","telangana,tg"
"37","ladakh","ladakh"
