stkey,stval,
"""assam""","""assam,asassam,as""",
"""andamannicobarislands""","""andamannicobarislands,andamannicobarisland,anislands,andamannicobar,an,andamansnicobars,andamanandnicobar,andmanandnocobarislands,andamanandnicobarislands,andamansnicobars""",
"""andhrapradesh""","""andhrapradesh,apandhrapradesh,ap,telangana""",
"""arunachalpradesh""","""arunachalpradesh,ararunachalpradesh,arunanchalpradesh,ar,arunancal","predesh,arp"""
"""bihar""","""bihar,bhbihar,br,bh""",
"""chandigarh""","""chandigarh,sahibzadaajitsinghnagar""",
"""chhattisgarh""","""chhattisgarh,ct,chhatisgarh,cg,chattisgarh""",
"""dadranagarhaveli""","""dadranagarhaveli,dnhaveli,thedadraandnagarhavelianddamananddiu""",
"""damandiu""","""damandiu,daman,diu""",
"""delhi""","""delhincr,delhi,dldelhi,newdelhi,nationalcapitalterritorydelhi,nctdelhi,nct,dl,nctofdelhi""",
"""goa""","""goa""",
"""gujarat""","""gujarat,gjgujarat,gujrat,gj,kutch,saurashtra""",
"""haryana""","""haryana,hrharyana,hr""",
"""himachalpradesh""","""himachalpradesh,hphimachalpradesh,himachal,hp,bilaspur""",
"""jammukashmir""","""jammukashmir,jmjammukashmir,jammu,jk,jammuandkashmir,ladakh""",
"""jharkhand""","""jharkhand,jh""",
"""karnataka""","""karnataka,kakarnataka,ka,mysore""",
"""kerala""","""kerala,kekerala,kerela,kl,travancorecochin,ke""",
"""lakshadweep""","""lakshadweep,lakshadwep,ld""",
"""madhyapradesh""","""madhyapradesh,madhypradesh,mpmadhyapradesh,mp""",
"""maharashtra""","""maharashtra,mhmaharashtra,mh,ms""",
"""manipur""","""manipur,mamanipur,mn,mnp""",
"""meghalaya""","""shillong,meghalay,meghalaya,mgh""",
"""mizoram""","""mizohills,mizoram,mz""",
"""nagaland""","""nagaland,nanagaland,nl""",
"""odisha""","""orissa,ororissa,or,odisha""",
"""pondicherry""","""puducherry,pondicherry,pondi,py,pondicherryfrench""",
"""punjab""","""punjab,pjpunjab,panjab,pb""",
"""rajasthan""","""rajasthan,rjrajasthan,rj""",
"""sikkim""","""sikkim,sksikkim,sk""",
"""tamilnadu""","""tamilnadu,tntamilnadu,tn,madras""",
"""tripura""","""tripura,trtripura,tr,tp""",
"""uttarakhand""","""ut,uttaranchal,uttrakhand,uk,uttranchal""",
"""uttarpradesh""","""uttarpradesh,uputtarpradesh,uttarapradesh,up""",
